psLayout version 3
match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q 	Q 	Q 	Q 	T 	T 	T 	T 	block	blockSizes 	qStarts	tStarts
196	19	0	0	0	0	0	0	-	LOC_Os03g03260	5711	3944	4159	Chr12	27487302	24999535	24999750	1	215,	1552,	24999535,
85	9	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4075	4169	Chr12	27487302	19012586	19012680	1	94,	1542,	19012586,
133	9	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4024	4166	Chr11	30181525	19377219	19377361	1	142,	1545,	19377219,
136	11	0	0	0	0	1	2125	-	LOC_Os03g03260	5711	4024	4171	Chr11	30181525	19422019	19424291	2	44,103,	1540,1584,	19422019,19424188,
108	11	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4004	4123	Chr11	30181525	29006604	29006723	1	119,	1588,	29006604,
91	9	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4008	4108	Chr10	25095745	19786169	19786269	1	100,	1603,	19786169,
148	16	0	0	0	0	0	0	-	LOC_Os03g03260	5711	3944	4108	Chr09	23125300	13075638	13075802	1	164,	1603,	13075638,
217	23	0	0	0	0	2	337	-	LOC_Os03g03260	5711	3934	4174	Chr08	29168739	20545928	20546505	3	181,55,4,	1537,1718,1773,	20545928,20546445,20546501,
198	18	0	0	1	8	1	7	-	LOC_Os03g03260	5711	3945	4169	Chr08	29168739	14790305	14790528	2	101,115,	1542,1651,	14790305,14790413,
205	20	0	0	0	0	0	0	-	LOC_Os03g03260	5711	3944	4169	Chr08	29168739	19610524	19610749	1	225,	1542,	19610524,
91	5	0	0	1	1	0	0	-	LOC_Os03g03260	5711	4078	4175	Chr08	29168739	25625320	25625416	2	4,92,	1536,1541,	25625320,25625324,
42	4	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4123	4169	Chr07	29327599	1531976	1532022	1	46,	1542,	1531976,
45	5	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4119	4169	Chr07	29327599	2135067	2135117	1	50,	1542,	2135067,
34	1	0	0	0	0	0	0	-	LOC_Os03g03260	5711	3938	3973	Chr07	29327599	4062507	4062542	1	35,	1738,	4062507,
123	13	0	0	0	0	0	0	-	LOC_Os03g03260	5711	3989	4125	Chr05	30954872	6431509	6431645	1	136,	1586,	6431509,
218	20	0	0	1	92	1	382	-	LOC_Os03g03260	5711	3945	4275	Chr04	34192892	708803	709423	2	25,213,	1436,1553,	708803,709210,
179	17	0	0	0	0	1	1318	-	LOC_Os03g03260	5711	3945	4141	Chr04	34192892	692528	694042	2	142,54,	1570,1712,	692528,693988,
52	5	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4615	4672	Chr03	38425022	29032333	29032390	1	57,	1039,	29032333,
100	11	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4010	4121	Chr03	38425022	15460257	15460368	1	111,	1590,	15460257,
198	16	0	0	2	4	1	4	-	LOC_Os03g03260	5711	3951	4169	Chr02	36468344	9530965	9531183	3	93,4,117,	1542,1636,1643,	9530965,9531058,9531066,
152	13	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4004	4169	Chr02	36468344	3622503	3622668	1	165,	1542,	3622503,
230	15	0	0	4	709	4	2549	-	LOC_Os03g03260	5711	3215	4169	Chr01	44011168	26788538	26791332	5	41,55,118,5,26,	1542,1585,1641,1761,2470,	26788538,26788580,26788637,26788756,26791306,
